0000AE	6	Dassault Electronique
0000AF	6	Canberra Industries, Inc.
0000B0	6	Rnd-Rad Network Devices
0000B1	6	Alpha Micro
0000B2	6	Televideo Systems, Inc.
0000B3	6	Cimlinc Incorporated
0000B4	6	Edimax Technology Co. Ltd.
0000B5	6	Datability Software Sys. Inc.
0000B6	6	Micro-Matic Research
0000B7	6	Dove Computer Corporation
0000B8	6	Seikosha Co., Ltd.
0000B9	6	Mcdonnell Douglas Computer Sys
0000BA	6	Siig, Inc.
0000BB	6	Tri-Data
0000BC	6	Rockwell Automation
0000BD	6	RYOSEI, Ltd.
0000BE	6	The Nti Group
0000BF	6	Symmetric Computer Systems
0000C0	6	Western Digital Corporation
0000C1	6	Madge Ltd.
0000C2	6	Information Presentation Tech.
0000C3	6	Harris Corporation
0000C4	6	Waters Div. Of Millipore
0000C5	6	Commscope
0000C6	6	Eon Systems
0000C7	6	Arix Corporation
0000C8	6	Altos Computer Systems
0000C9	6	Emulex Corporation
0000CA	6	Commscope
0000CB	6	Compu-Shack Electronic Gmbh
0000CC	6	Densan Co., Ltd.
0000CD	6	Allied Telesis Labs Ltd
0000CE	6	Megadata Corp.
0000CF	6	Hayes Microcomputer Products
0000D0	6	Develcon Electronics Ltd.
0000D1	6	Adaptec Incorporated
0000D2	6	Sbe, Inc.
0000D3	6	Wang Laboratories Inc.
0000D4	6	Pure Data Ltd.
0000D5	6	Micrognosis International
0000D6	6	Punch Line Holding
0000D7	6	Dartmouth College
0000D8	6	Novell, Inc.
0000D9	6	Nippon Telegraph & Telephone
0000DA	6	Atex
0000DB	6	British Telecommunications plc
0000DC	6	Hayes Microcomputer Products
0000DD	6	Tcl Incorporated
0000DE	6	Cetia
0000DF	6	Bell & Howell Pub Sys Div
0000E0	6	Quadram Corp.
0000E1	6	Grid Systems
0000E2	6	Acer Technologies Corp.
0000E3	6	Integrated Micro Products Ltd
0000E4	6	In2 Groupe Intertechnique
0000E5	6	Sigmex Ltd.
0000E6	6	Aptor Produits De Comm Indust
0000E7	6	Star Gate Technologies
0000E8	6	Accton Technology Corp.
0000E9	6	Isicad, Inc.
0000EA	6	Upnod Ab
0000EB	6	Matsushita Comm. Ind. Co. Ltd.
0000EC	6	Microprocess
0000ED	6	April
0000EE	6	Network Designers, Ltd.
0000EF	6	Kti
0000F0	6	Samsung Electronics Co.,Ltd
0000F1	6	Magna Computer Corporation
0000F2	6	Spider Communications
0000F3	6	Gandalf Data Limited
0000F4	6	Allied Telesis, Inc.
0000F5	6	Diamond Sales Limited
0000F6	6	Applied Microsystems Corp.
0000F7	6	Youth Keep Enterprise Co Ltd
0000F8	6	Digital Equipment Corporation
0000F9	6	Quotron Systems Inc.
0000FA	6	Microsage Computer Systems Inc
0000FB	6	Rechner Zur Kommunikation
0000FC	6	Meiko
0000FD	6	High Level Hardware
0000FE	6	Annapolis Micro Systems, Inc.
0000FF	6	Camtec Electronics Ltd.
000100	6	Equip'Trans
000101	6	Private
000102	6	3Com
000103	6	3Com
000104	6	DVICO Co., Ltd.
000105	6	Beckhoff Automation GmbH
000106	6	Tews Datentechnik GmbH
000107	6	Leiser GmbH
000108	6	AVLAB Technology, Inc.
000109	6	Nagano Japan Radio Co., Ltd.
00010A	6	Cis Technology Inc.
00010B	6	Space CyberLink, Inc.
00010C	6	System Talks Inc.
00010D	6	Teledyne DALSA Inc.
00010E	6	Bri-Link Technologies Co., Ltd
00010F	6	Brocade Communications Systems LLC
000110	6	Gotham Networks
000111	6	iDigm Inc.
000112	6	Shark Multimedia Inc.
000113	6	Olympus Corporation
000114	6	Kanda Tsushin Kogyo Co., Ltd.
000115	6	Extratech Corporation
000116	6	Netspect Technologies, Inc.
000117	6	Canal +
000118	6	EZ Digital Co., Ltd.
000119	6	RTUnet (Australia)
00011A	6	Hoffmann und Burmeister GbR
00011B	6	Unizone Technologies, Inc.
00011C	6	Universal Talkware Corporation
00011D	6	Centillium Communications
00011E	6	Precidia Technologies, Inc.
00011F	6	RC Networks, Inc.
000120	6	Oscilloquartz S.A.
000121	6	WatchGuard Technologies, Inc.
000122	6	Trend Communications, Ltd.
000123	6	Schneider Electric Japan Holdings Ltd.
000124	6	Acer Incorporated
000125	6	Yaesu Musen Co., Ltd.
000126	6	PAC Labs
000127	6	OPEN Networks Pty Ltd
000128	6	EnjoyWeb, Inc.
000129	6	DFI Inc.
00012A	6	Telematica Sistems Inteligente
00012B	6	TELENET Co., Ltd.
00012C	6	Aravox Technologies, Inc.
00012D	6	Komodo Technology
00012E	6	PC Partner Ltd.
00012F	6	Twinhead International Corp
000130	6	Extreme Networks Headquarters
000131	6	Bosch Security Systems, Inc.
000132	6	Dranetz - BMI
000133	6	KYOWA Electronic Instruments C
000134	6	Selectron Systems AG
000135	6	KDC Corp.
000136	6	CyberTAN Technology Inc.
000137	6	IT Farm Corporation
000138	6	XAVi Technologies Corp.
000139	6	Point Multimedia Systems
00013A	6	Shelcad Communications, Ltd.
00013B	6	Bna Systems
00013C	6	Tiw Systems
00013D	6	RiscStation Ltd.
00013E	6	Ascom Tateco AB
00013F	6	Neighbor World Co., Ltd.
000140	6	Sendtek Corporation
000141	6	Cable Print
000142	6	Cisco Systems, Inc
000143	6	Cisco Systems, Inc
000144	6	Dell EMC
000145	6	Winsystems, Inc.
000146	6	Tesco Controls, Inc.
000147	6	Zhone Technologies, Inc.
000148	6	X-traWeb Inc.
000149	6	Tdt Ag
00014A	6	Sony Corporation
00014B	6	Ennovate Networks, Inc.
00014C	6	Berkeley Process Control
00014D	6	Shin Kin Enterprises Co., Ltd
00014E	6	WIN Enterprises, Inc.
00014F	6	Adtran Inc
000150	6	Gilat Communications, Ltd.
000151	6	Ensemble Communications
000152	6	Chromatek Inc.
000153	6	Archtek Telecom Corporation
000154	6	G3M Corporation
000155	6	Promise Technology, Inc.
000156	6	Firewiredirect.Com, Inc.
000157	6	Syswave Co., Ltd
000158	6	Electro Industries/Gauge Tech
000159	6	S1 Corporation
00015A	6	Digital Video Broadcasting
00015B	6	ITALTEL S.p.A/RF-UP-I
00015C	6	Cadant Inc.
00015D	6	Oracle Corporation
00015E	6	Best Technology Co., Ltd.
00015F	6	DIGITAL DESIGN GmbH
000160	6	ELMEX Co., LTD.
000161	6	Meta Machine Technology
000162	6	Cygnet Technologies, Inc.
000163	6	Cisco Systems, Inc
000164	6	Cisco Systems, Inc
000165	6	AirSwitch Corporation
000166	6	Tc Group A/S
000167	6	Hioki E.E. Corporation
000168	6	Vitana Corporation
000169	6	Celestix Networks Pte Ltd.
00016A	6	Alitec
00016B	6	LightChip, Inc.
00016C	6	Foxconn
00016D	6	CarrierComm Inc.
00016E	6	Conklin Corporation
00016F	6	Inkel Corp.
000170	6	ESE Embedded System Engineer'g
000171	6	Allied Data Technologies
000172	6	TechnoLand Co., LTD.
000173	6	Amcc
000174	6	CyberOptics Corporation
000175	6	Radiant Communications Corp.
000176	6	Orient Silver Enterprises
000177	6	Edsl
000178	6	MARGI Systems, Inc.
000179	6	Wireless Technology, Inc.
00017A	6	Chengdu Maipu Electric Industrial Co., Ltd.
00017B	6	Heidelberger Druckmaschinen AG
00017C	6	AG-E GmbH
00017D	6	ThermoQuest
00017E	6	ADTEK System Science Co., Ltd.
